Ref,Qnty,Value,Footprint,Mouser Part
"C1, C2, ",2,10uF,0805,187-CL21A106KOQNNNG 
"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, ",10,100nF,0805,603-CC805KRX7R9BB104 
"D1, ",1,LED,0805,710-150080SS75000 
"D2, ",1,LED,2.54mm,649-1012937990202BLF 
"F1, F2, ",2,1.5A,1206,530-C1T1.5 
"J1, ",1,IDE,IDC-40,710-61204021621 
"J2, ",1,CF_Adapter,2x20_2.54mm,710-61304021821 
"J5, ",1,Power Output,,571-1718264 
"J6, ",1,MemExp,2x17_2.54mm,649-67996-434HLF 
"JP1, ",1,5V on IDE Pin20,2.54mm,649-54102-T0800LF 
"R1, R2, ",2,1k,0805,652-CRT0805FZ1001ELF 
"RN1, RN2, RN3, ",3,10k,4x0603,791-WA06X103JTL 
"SW1, ",1,HiSpeed,,611-JS202011CQN 
"SW2, ",1,Config,DIP-24,774-20812 
"U1, U4, ",2,HCT245,TSSOP-20,595-SN74HCT245PW 
"U2, U3, ",2,HCT573,SOIC-20,863-MC74HCT573ADWG 
"U5, U7, ",2,HCT04,SOIC-14,595-SN74HCT04DRG4 
"U6, ",1,HCT32,SOIC-14,595-SN74HCT32D 
"U8, ",1,DIP_Socket,DIP-28,571-1-2199299-2 
"U9, U15, ",2,HCT86,SOIC-14,595-CD74HCT86M 
"U10, U14, U16, ",3,F138,SOIC-16,595-SN74F138D 
"U12, ",1,HCT02,SOIC-14,595-SN74HCT02DR 
"U13, ",1,AHC1G09,SC-70-5,595-SN74AHC1G09DCKR 
